Date,Profit ($),Return (%),Trades,Win Rate (%),Status,Volume (Lots),Balance
2026-01-01,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,100000.0
2026-01-02,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,100000.0
2026-01-05,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,100000.0
2026-01-06,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,100000.0
2026-01-07,-1245.75,-1.25%,2,0.0%,❌ Loss,0.52,98754.25
2026-01-08,-492.66,-0.50%,2,0.0%,❌ Loss,0.19,98261.59
2026-01-09,65.18,0.07%,2,50.0%,✅ Profit,0.09,98326.77
2026-01-12,163.74,0.17%,1,100.0%,✅ Profit,0.03,98653.98
2026-01-13,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,98653.98
2026-01-14,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,98653.98
2026-01-15,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,98653.98
2026-01-16,-246.39,-0.25%,1,0.0%,❌ Loss,0.07,98407.59
2026-01-19,-98.16,-0.10%,1,0.0%,❌ Loss,0.03,98309.43
2026-01-20,163.44,0.17%,1,100.0%,✅ Profit,0.02,98472.87
2026-01-21,1398.85,1.42%,3,100.0%,✅ Profit,0.25,99871.72
2026-01-22,2512.4,2.52%,2,100.0%,✅ Profit,0.4,102384.12
2026-01-23,78.08,0.08%,2,50.0%,✅ Profit,0.38,102462.2
2026-01-26,2609.79,2.52%,2,100.0%,✅ Profit,0.4,106352.77
2026-01-27,1329.41,1.25%,1,100.0%,✅ Profit,0.17,107682.18
2026-01-28,5485.91,5.09%,4,100.0%,✅ Profit,0.63,113168.09
2026-01-29,-1409.79,-1.25%,2,0.0%,❌ Loss,0.16,111758.3
2026-01-30,184.91,0.17%,2,50.0%,✅ Profit,0.04,111943.21
2026-02-02,465.96,0.42%,1,100.0%,✅ Profit,0.02,112409.17
2026-02-03,935.81,0.83%,1,100.0%,✅ Profit,0.03,113344.98
2026-02-04,-1691.55,-1.49%,3,0.0%,❌ Loss,0.23,111653.43
2026-02-05,-204.97,-0.18%,3,33.3%,❌ Loss,0.05,111448.46
2026-02-06,-111.17,-0.10%,1,0.0%,❌ Loss,0.01,111337.29
2026-02-09,73.86,0.07%,2,50.0%,✅ Profit,0.03,111411.15
2026-02-10,0.0,0.00%,0,0.0%,⏸️ Idle,0.0,111411.15
2026-02-11,-37.31,-0.03%,3,33.3%,❌ Loss,0.1,111373.84
2026-02-12,-111.1,-0.10%,1,0.0%,❌ Loss,0.02,111262.74
2026-02-13,-110.98,-0.10%,1,0.0%,❌ Loss,0.02,111151.76
