Month,Starting Balance,Ending Balance,Net Profit,Return %,Max DD %,Trades,Win Rate %,Avg Lot Size,Profit Factor,Status,Classification
2024-05,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-06,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-07,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-08,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-09,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-10,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-11,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-12,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-01,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-02,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-03,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-04,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-05,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-06,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-07,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-08,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-09,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-10,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-11,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-12,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2026-01,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
