Month,Return (%),Balance ($),Win Rate (%),Status
2006-10,0.0,100000.0,0.0,🛡️ SAFE
2006-11,8.55,108546.32,70.0,🛡️ SAFE
2006-12,14.8,124607.54,100.0,🛡️ SAFE
2007-01,16.33,144955.73,63.6,🛡️ SAFE
2007-02,21.97,176803.72,66.7,✅ PASS
2007-03,24.61,220310.77,87.5,✅ PASS
2007-04,23.0,270975.22,100.0,✅ PASS
2007-05,14.8,311070.49,100.0,🛡️ SAFE
2007-06,14.8,357098.51,100.0,🛡️ SAFE
2007-07,14.93,410400.3,85.7,🛡️ SAFE
2007-08,24.61,511389.73,87.5,✅ PASS
2007-09,10.9,567151.3,100.0,🛡️ SAFE
2007-10,23.56,700748.1,72.7,✅ PASS
2007-11,21.96,854622.74,77.8,✅ PASS
2007-12,23.0,1051158.72,100.0,✅ PASS
2008-01,18.83,1249050.05,100.0,🛡️ SAFE
2008-02,26.24,1576792.92,80.0,✅ PASS
2008-03,11.48,1757807.43,66.7,🛡️ SAFE
2008-04,7.14,1883371.15,100.0,🛡️ SAFE
2008-05,2.82,1936456.89,50.0,🛡️ SAFE
2008-06,14.93,2225499.28,83.3,🛡️ SAFE
2008-07,23.14,2740385.73,87.5,✅ PASS
2008-08,4.88,2874008.1,50.0,🛡️ SAFE
2008-09,23.01,3535292.36,77.8,✅ PASS
2008-10,23.0,4348296.87,100.0,✅ PASS
2008-11,23.0,5348266.48,100.0,✅ PASS
2008-12,10.9,5931437.57,100.0,🛡️ SAFE
2009-01,24.61,7391018.7,87.5,✅ PASS
2009-02,26.24,9330375.54,80.0,✅ PASS
2009-03,23.0,11476064.37,100.0,✅ PASS
2009-04,14.8,13174138.05,100.0,🛡️ SAFE
2009-05,24.61,16415969.9,87.5,✅ PASS
2009-06,23.0,20191119.48,100.0,✅ PASS
2009-07,20.43,24315675.65,70.0,✅ PASS
2009-08,23.0,29907505.63,100.0,✅ PASS
2009-09,11.03,33206072.19,80.0,🛡️ SAFE
2009-10,24.61,41377271.12,87.5,✅ PASS
2009-11,12.4,46507518.85,62.5,🛡️ SAFE
2009-12,3.63,48194321.26,66.7,🛡️ SAFE
2010-01,21.01,58318669.24,70.0,✅ PASS
2010-02,9.43,63816767.88,62.5,🛡️ SAFE
2010-03,5.82,67531262.85,42.9,🛡️ SAFE
2010-04,23.6,83470263.71,64.3,✅ PASS
2010-05,21.96,101799184.75,77.8,✅ PASS
2010-06,22.51,124717088.31,64.3,✅ PASS
2010-07,3.51,129094658.11,100.0,🛡️ SAFE
2010-08,15.39,148966019.94,71.4,🛡️ SAFE
2010-09,18.83,177010389.38,100.0,🛡️ SAFE
2010-10,10.9,196311473.65,100.0,🛡️ SAFE
2010-11,23.14,241729650.22,87.5,✅ PASS
2010-12,23.0,297319761.08,100.0,✅ PASS
2011-01,10.9,329739291.84,100.0,🛡️ SAFE
2011-02,16.3,383486801.14,83.3,🛡️ SAFE
2011-03,23.0,471676536.12,100.0,✅ PASS
2011-04,17.82,555743610.64,75.0,🛡️ SAFE
2011-05,18.84,660434142.57,75.0,🛡️ SAFE
2011-06,20.52,795942939.39,77.8,✅ PASS
2011-07,17.9,938410157.93,83.3,🛡️ SAFE
2011-08,23.0,1154214568.62,100.0,✅ PASS
2011-09,24.75,1439863351.71,80.0,✅ PASS
2011-10,16.3,1674561098.72,83.3,🛡️ SAFE
2011-11,23.0,2059656750.13,100.0,✅ PASS
2011-12,3.52,2132164233.04,50.0,🛡️ SAFE
2012-01,24.61,2656837491.27,87.5,✅ PASS
2012-02,23.0,3267825388.46,100.0,✅ PASS
2012-03,3.51,3382526059.59,100.0,🛡️ SAFE
2012-04,23.0,4160399185.48,100.0,✅ PASS
2012-05,23.0,5117158324.18,100.0,✅ PASS
2012-06,7.01,5475772415.95,57.1,🛡️ SAFE
2012-07,24.61,6823225539.07,87.5,✅ PASS
2012-08,7.14,7310622254.01,100.0,🛡️ SAFE
2012-09,7.14,7832834695.97,100.0,🛡️ SAFE
2012-10,24.61,9760302963.88,87.5,✅ PASS
2012-11,23.0,12004861392.22,100.0,✅ PASS
2012-12,7.14,12862392771.24,100.0,🛡️ SAFE
2013-01,24.62,16029117047.14,72.7,✅ PASS
2013-02,24.61,19973489125.73,87.5,✅ PASS
2013-03,14.93,22954802512.45,83.3,🛡️ SAFE
2013-04,24.61,28603415710.12,87.5,✅ PASS
2013-05,23.0,35181289168.49,100.0,✅ PASS
2013-06,23.0,43271863755.73,100.0,✅ PASS
2013-07,3.63,44841310713.4,66.7,🛡️ SAFE
2013-08,14.8,51476324849.18,100.0,🛡️ SAFE
2013-09,23.0,63314237998.83,100.0,✅ PASS
2013-10,23.56,78228388624.03,72.7,✅ PASS
2013-11,12.36,87894519460.31,80.0,🛡️ SAFE
2013-12,23.0,108107456004.43,100.0,✅ PASS
2014-01,7.14,115829788882.82,100.0,🛡️ SAFE
2014-02,0.0,115829788882.82,0.0,🛡️ SAFE
2014-03,23.0,142466946546.16,100.0,✅ PASS
2014-04,24.61,177524563533.11,87.5,✅ PASS
2014-05,23.0,218349551936.84,100.0,✅ PASS
2014-06,3.51,226013621209.82,100.0,🛡️ SAFE
2014-07,24.75,281948208777.61,80.0,✅ PASS
2014-08,23.0,346787305546.61,100.0,✅ PASS
2014-09,3.51,358959539971.3,100.0,🛡️ SAFE
2014-10,17.24,420859675997.04,70.0,🛡️ SAFE
2014-11,2.7,432233922189.66,50.0,🛡️ SAFE
2014-12,23.01,531687187630.73,77.8,✅ PASS
2015-01,10.9,589661972326.36,100.0,🛡️ SAFE
2015-02,17.9,695206599860.19,83.3,🛡️ SAFE
2015-03,16.3,808525285622.85,83.3,🛡️ SAFE
2015-04,14.8,928159984383.84,100.0,🛡️ SAFE
2015-05,23.0,1141607182028.75,100.0,✅ PASS
2015-06,24.61,1422528675100.47,87.5,✅ PASS
2015-07,23.0,1749664906330.34,100.0,✅ PASS
2015-08,10.9,1940447096674.28,100.0,🛡️ SAFE
2015-09,23.0,2386688048591.93,100.0,✅ PASS
2015-10,-1.18,2358609066573.19,0.0,🛑 FAIL
2015-11,7.14,2527089253002.73,100.0,🛡️ SAFE
2016-10,10.9,110903.93,100.0,🛡️ SAFE
2016-11,7.7,119443.15,60.0,🛡️ SAFE
2016-12,23.0,146911.27,100.0,✅ PASS
2017-01,-0.78,145765.36,0.0,🛑 FAIL
2017-02,-0.78,144628.39,0.0,🛑 FAIL
2017-03,23.0,177888.31,100.0,✅ PASS
2017-04,20.39,214167.18,70.0,✅ PASS
2017-05,11.48,238753.4,66.7,🛡️ SAFE
2017-06,16.3,277670.2,83.3,🛡️ SAFE
2017-07,23.0,341525.5,100.0,✅ PASS
2017-08,26.25,431182.82,69.2,✅ PASS
2017-09,18.83,512357.37,100.0,🛡️ SAFE
2017-10,7.26,549576.3,75.0,🛡️ SAFE
2017-11,23.0,675961.33,100.0,✅ PASS
2017-12,2.72,694325.33,40.0,🛡️ SAFE
2018-01,0.81,699963.03,50.0,🛡️ SAFE
2018-02,24.61,872206.74,87.5,✅ PASS
2018-03,8.55,946748.32,75.0,🛡️ SAFE
2018-04,23.0,1164470.24,100.0,✅ PASS
2018-05,14.81,1336906.78,71.4,🛡️ SAFE
2018-06,24.61,1665886.7,87.5,✅ PASS
2018-07,24.61,2075820.51,87.5,✅ PASS
2018-08,23.14,2556077.63,87.5,✅ PASS
2018-09,24.61,3185065.57,87.5,✅ PASS
2018-10,23.0,3917529.08,100.0,✅ PASS
2018-11,24.61,4881536.78,87.5,✅ PASS
2018-12,3.51,5052878.72,100.0,🛡️ SAFE
2019-01,23.0,6214879.69,100.0,✅ PASS
2019-02,24.62,7744984.61,72.7,✅ PASS
2019-03,20.38,9323577.55,85.7,✅ PASS
2019-04,3.51,9650835.12,100.0,🛡️ SAFE
2019-05,19.44,11527261.56,75.0,🛡️ SAFE
2019-06,8.55,12512418.18,75.0,🛡️ SAFE
2019-07,24.61,15591417.02,87.5,✅ PASS
2019-08,24.61,19428081.87,87.5,✅ PASS
2019-09,24.61,24208855.73,87.5,✅ PASS
2019-10,10.9,26848571.77,100.0,🛡️ SAFE
2019-11,14.8,30821262.36,100.0,🛡️ SAFE
2019-12,26.24,38908567.83,80.0,✅ PASS
2020-01,24.61,48483010.9,87.5,✅ PASS
2020-02,23.0,59632557.3,100.0,✅ PASS
2020-03,24.75,74390616.93,80.0,✅ PASS
2020-04,24.61,92696320.94,87.5,✅ PASS
2020-05,24.61,115506609.18,87.5,✅ PASS
2020-06,24.61,143929949.21,87.5,✅ PASS
2020-07,23.0,177029247.64,100.0,✅ PASS
2020-08,23.0,217740329.19,100.0,✅ PASS
2020-09,10.05,239623010.06,57.1,🛡️ SAFE
